,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
0,120420285.0,RESIDENTIAL BURGLARY,629,07/08/2012 06:00:00 AM,2012,7,Sunday,763273.1791,2951498.962,ABERDEEN ST,"(42.34638135, -71.10379454)"
1,120419202.0,AGGRAVATED ASSAULT,327,07/08/2012 06:03:00 AM,2012,7,Sunday,771223.1638,2940772.099,HOWARD AV,"(42.31684135, -71.07458456)"
2,120419213.0,ROBBERY,625,07/08/2012 06:26:00 AM,2012,7,Sunday,765118.8605,2950217.5360000003,JERSEY ST,"(42.34284135, -71.09698955)"
3,120419223.0,COMMERCIAL BURGLARY,258,07/08/2012 06:56:00 AM,2012,7,Sunday,773591.8648,2940638.1739999996,COLUMBIA RD,"(42.3164411, -71.06582908)"
4,120419236.0,ROBBERY,496,07/08/2012 07:15:00 AM,2012,7,Sunday,759042.7315,2923832.6810000003,COLLINS ST,"(42.27051636, -71.11989955)"
5,120419239.0,ROBBERY,249,07/08/2012 07:32:00 AM,2012,7,Sunday,777066.0032,2939504.8010000004,SYDNEY ST,"(42.31328183, -71.0530059)"
6,120419257.0,ROBBERY,295,07/08/2012 07:50:00 AM,2012,7,Sunday,768066.0298,2943456.962,REGENT ST,"(42.32425136, -71.08620956)"
7,120419424.0,SIMPLE ASSAULT,123,07/08/2012 07:50:00 AM,2012,7,Sunday,774083.6785,2952595.797,WASHINGTON ST,"(42.34924634, -71.06378456)"
8,120419255.0,MedAssist,759,07/08/2012 07:53:00 AM,2012,7,Sunday,746474.0254,2953382.1960000005,FANEUIL ST,"(42.35174635, -71.16590953)"
9,120419274.0,MedAssist,494,07/08/2012 08:05:00 AM,2012,7,Sunday,759766.2593,2919778.597,RIVER ST,"(42.25938275, -71.11729354)"
10,120419278.0,BENoProp,626,07/08/2012 08:10:00 AM,2012,7,Sunday,765096.3106,2949840.249,PARK DR,"(42.34180635, -71.09707955)"
11,120419280.0,VAL,252,07/08/2012 08:15:00 AM,2012,7,Sunday,777796.693,2938036.312,SAVIN HILL AV,"(42.3092417, -71.05033304)"
12,120449819.0,FRAUD,125,07/08/2012 09:00:00 AM,2012,7,Sunday,774083.6785,2952595.797,WASHINGTON ST,"(42.34924634, -71.06378456)"
13,120419475.0,PropFound,162,07/08/2012 09:30:00 AM,2012,7,Sunday,771032.1683,2947352.683,MASSACHUSETTS AV,"(42.33490135, -71.07516956)"
14,120419370.0,InvPer,103,07/08/2012 09:30:00 AM,2012,7,Sunday,772933.0440000001,2956412.797,CHAMPNEY PL,"(42.35973634, -71.06796956)"
15,120419367.0,TOWED,792,07/08/2012 09:45:00 AM,2012,7,Sunday,754114.5468,2950794.983,COREY RD,"(42.34456135, -71.13768454)"
16,120419366.0,VAL,91,07/08/2012 09:47:00 AM,2012,7,Sunday,777035.8848,2957182.8460000004,COMMERCIAL ST,"(42.36179134, -71.05277456)"
17,120419376.0,TOWED,221,07/08/2012 09:53:00 AM,2012,7,Sunday,779594.8466,2947932.63,E 3RD ST,"(42.33637135, -71.04348957)"
18,120419382.0,WEAPONS CHARGE,296,07/08/2012 09:55:00 AM,2012,7,Sunday,769233.4040000001,2942533.3680000002,WARREN ST,"(42.32170135, -71.08190956)"
19,120419328.0,InvProp,273,07/08/2012 10:00:00 AM,2012,7,Sunday,769552.6659,2948284.111,CAMDEN ST,"(42.33747731, -71.08062448)"
20,120419772.0,MedAssist,296,07/08/2012 10:00:00 AM,2012,7,Sunday,769183.8241,2942717.1610000003,WARREN ST,"(42.32220635, -71.08208955)"
21,120419387.0,InvPer,311,07/08/2012 10:00:00 AM,2012,7,Sunday,769851.8126,2941554.837,WOODBINE ST,"(42.31900788, -71.07964071)"
22,120419601.0,DRUG CHARGES,574,07/08/2012 10:00:00 AM,2012,7,Sunday,763205.8082,2938139.2,WASHINGTON ST,"(42.30972244, -71.10427304)"
23,120421491.0,VAL,311,07/08/2012 10:00:00 AM,2012,7,Sunday,770311.7677,2941033.602,BLUE HILL AV,"(42.31757135, -71.07794956)"
24,120419390.0,WEAPONS CHARGE,796,07/08/2012 10:01:00 AM,2012,7,Sunday,757481.0058,2953404.247,COMMONWEALTH AV,"(42.35168135, -71.12518954)"
25,120419425.0,VAL,497,07/08/2012 10:34:00 AM,2012,7,Sunday,760092.1353,2925515.338,AMERICAN LEGION HY,"(42.2751208, -71.11599434)"
26,120426141.0,SIMPLE ASSAULT,271,07/08/2012 11:00:00 AM,2012,7,Sunday,770977.0295,2947005.207,NORTHAMPTON ST,"(42.33394861, -71.07537988)"
27,120420132.0,RESIDENTIAL BURGLARY,503,07/08/2012 11:00:00 AM,2012,7,Sunday,765792.0983,2930285.392,CATBIRD COURT,"(42.28813781, -71.0948495)"
28,120419472.0,VAL,462,07/08/2012 11:09:00 AM,2012,7,Sunday,771103.6662,2935170.295,BULLARD ST,"(42.30147136, -71.07512956)"
29,120419650.0,PersLoc,488,07/08/2012 11:10:00 AM,2012,7,Sunday,762033.1228,2921850.994,ANDRIA RD,"(42.26504136, -71.10888455)"
30,120419529.0,VAL,345,07/08/2012 11:30:00 AM,2012,7,Sunday,773368.3558,2935894.139,HOMES AV,"(42.30342636, -71.06674457)"
31,120419534.0,VAL,493,07/08/2012 11:51:00 AM,2012,7,Sunday,760133.3603,2922658.665,BRADLEE ST,"(42.26728137, -71.11588955)"
32,120419541.0,MedAssist,329,07/08/2012 11:59:00 AM,2012,7,Sunday,770446.8849,2937394.604,STANWOOD ST,"(42.30758393, -71.07751662)"
33,120420216.0,PropLost,318,07/08/2012 12:00:00 PM,2012,7,Sunday,766946.5418,2937782.313,SEAVER ST,"(42.30869467, -71.09044998)"
34,120423615.0,PropLost,157,07/08/2012 12:00:00 PM,2012,7,Sunday,770528.8857,2949062.99,W CONCORD ST,"(42.33960135, -71.07699955)"
35,120444955.0,OTHER LARCENY,605,07/08/2012 12:00:00 PM,2012,7,Sunday,762261.1358,2946131.747,HILLSIDE ST,"(42.33166635, -71.10762954)"
36,120447702.0,PropLost,291,07/08/2012 12:00:00 PM,2012,7,Sunday,766334.4984,2945475.4,CENTRE ST,"(42.3298129, -71.0925768)"
37,120422849.0,AUTO THEFT,233,07/08/2012 12:00:00 PM,2012,7,Sunday,779941.0237,2946403.889,E 7TH ST,"(42.33217135, -71.04223957)"
39,120419586.0,DRUG CHARGES,200,07/08/2012 12:15:00 PM,2012,7,Sunday,776551.5679,2949714.607,W BROADWAY,"(42.34130529, -71.0547108)"
40,120427046.0,OTHER LARCENY,363,07/08/2012 12:22:00 PM,2012,7,Sunday,775063.1785,2932477.2180000003,CENTRE ST,"(42.29402635, -71.06054456)"
41,120419578.0,VAL,83,07/08/2012 12:24:00 PM,2012,7,Sunday,776993.0581,2958600.3239999996,HANOVER ST,"(42.36568154, -71.05290553)"
42,120419589.0,MedAssist,249,07/08/2012 12:27:00 PM,2012,7,Sunday,776423.5813,2940100.747,AUCKLAND ST,"(42.31492635, -71.05536956)"
43,120420276.0,PropLost,151,07/08/2012 12:30:00 PM,2012,7,Sunday,772273.0459,2951416.795,BERKELEY ST,"(42.34603634, -71.07050456)"
44,120419595.0,Arrest,363,07/08/2012 12:30:00 PM,2012,7,Sunday,775305.3515,2932210.6160000004,WHITTEN ST,"(42.29329136, -71.05965457)"
45,120419761.0,VANDALISM,248,07/08/2012 12:30:00 PM,2012,7,Sunday,776328.5204,2939657.475,AUCKLAND ST,"(42.31371136, -71.05572957)"
46,120419607.0,AGGRAVATED ASSAULT,214,07/08/2012 12:36:00 PM,2012,7,Sunday,778722.6466,2947847.002,W BROADWAY,"(42.33614915, -71.0467171)"
47,120419614.0,MVAcc,24,07/08/2012 12:41:00 PM,2012,7,Sunday,780934.5086,2963675.903,MARION ST,"(42.37955134, -71.03821957)"
48,120419723.0,CRIMES AGAINST CHILDREN,0,07/08/2012 12:57:00 PM,2012,7,Sunday,774104.1328,2943918.604,ALLSTATE RD,"(42.32543556, -71.06387302)"
49,120420355.0,InvPer,329,07/08/2012 01:00:00 PM,2012,7,Sunday,770832.9737,2937381.0039999997,COLUMBIA RD,"(42.30754136, -71.07608956)"
50,120419648.0,SIMPLE ASSAULT,384,07/08/2012 01:00:00 PM,2012,7,Sunday,778981.0368,2928881.854,GALLIVAN BL,"(42.28410417, -71.04613468)"
51,120419811.0,InvProp,303,07/08/2012 01:00:00 PM,2012,7,Sunday,764671.0201,2941108.421,BANCROFT ST,"(42.31785135, -71.09880455)"
52,120419658.0,PhoneCalls,622,07/08/2012 01:17:00 PM,2012,7,Sunday,765525.5483,2952537.22,BEACON ST,"(42.34920135, -71.09544455)"
53,120419550.0,Arrest,484,07/08/2012 01:27:00 PM,2012,7,Sunday,763578.2142,2920504.309,HOPEWELL RD,"(42.26132637, -71.10319956)"
54,120420398.0,OTHER LARCENY,116,07/08/2012 01:30:00 PM,2012,7,Sunday,774911.8589,2953190.422,TYLER ST,"(42.35086634, -71.06070956)"
55,120421498.0,OTHER LARCENY,481,07/08/2012 01:30:00 PM,2012,7,Sunday,764676.6933,2922974.147,HOLLINGSWORTH ST,"(42.2680897, -71.09909872)"
56,120419712.0,LARCENY FROM MOTOR VEHICLE,256,07/08/2012 01:40:00 PM,2012,7,Sunday,773992.0628,2933743.565,PARK ST,"(42.29751636, -71.06447956)"
57,120419715.0,SIMPLE ASSAULT,23,07/08/2012 01:54:00 PM,2012,7,Sunday,782230.82,2963294.84,PRINCETON ST,"(42.37848634, -71.03342957)"
58,120420272.0,LARCENY FROM MOTOR VEHICLE,102,07/08/2012 02:00:00 PM,2012,7,Sunday,774418.0128,2955399.966,PARK ST,"(42.35693634, -71.06249456)"
59,120420632.0,OTHER LARCENY,62,07/08/2012 02:00:00 PM,2012,7,Sunday,772316.1456,2959226.7189999996,SCIENCE PARK,"(42.36746634, -71.07019955)"
