,COMPNOS,INCIDENT_TYPE_DESCRIPTION,FROMDATE,Year,Month,DAY_WEEK,STREETNAME,Location
0,120420285.0,RESIDENTIAL BURGLARY,07/08/2012 06:00:00 AM,2012,7,Sunday,ABERDEEN ST,"(42.34638135, -71.10379454)"
1,120419202.0,AGGRAVATED ASSAULT,07/08/2012 06:03:00 AM,2012,7,Sunday,HOWARD AV,"(42.31684135, -71.07458456)"
2,120419213.0,ROBBERY,07/08/2012 06:26:00 AM,2012,7,Sunday,JERSEY ST,"(42.34284135, -71.09698955)"
3,120419223.0,COMMERCIAL BURGLARY,07/08/2012 06:56:00 AM,2012,7,Sunday,COLUMBIA RD,"(42.3164411, -71.06582908)"
4,120419236.0,ROBBERY,07/08/2012 07:15:00 AM,2012,7,Sunday,COLLINS ST,"(42.27051636, -71.11989955)"
5,120419239.0,ROBBERY,07/08/2012 07:32:00 AM,2012,7,Sunday,SYDNEY ST,"(42.31328183, -71.0530059)"
6,120419257.0,ROBBERY,07/08/2012 07:50:00 AM,2012,7,Sunday,REGENT ST,"(42.32425136, -71.08620956)"
7,120419424.0,SIMPLE ASSAULT,07/08/2012 07:50:00 AM,2012,7,Sunday,WASHINGTON ST,"(42.34924634, -71.06378456)"
8,120419255.0,MedAssist,07/08/2012 07:53:00 AM,2012,7,Sunday,FANEUIL ST,"(42.35174635, -71.16590953)"
9,120419274.0,MedAssist,07/08/2012 08:05:00 AM,2012,7,Sunday,RIVER ST,"(42.25938275, -71.11729354)"
10,120419278.0,BENoProp,07/08/2012 08:10:00 AM,2012,7,Sunday,PARK DR,"(42.34180635, -71.09707955)"
11,120419280.0,VAL,07/08/2012 08:15:00 AM,2012,7,Sunday,SAVIN HILL AV,"(42.3092417, -71.05033304)"
12,120449819.0,FRAUD,07/08/2012 09:00:00 AM,2012,7,Sunday,WASHINGTON ST,"(42.34924634, -71.06378456)"
13,120419475.0,PropFound,07/08/2012 09:30:00 AM,2012,7,Sunday,MASSACHUSETTS AV,"(42.33490135, -71.07516956)"
14,120419370.0,InvPer,07/08/2012 09:30:00 AM,2012,7,Sunday,CHAMPNEY PL,"(42.35973634, -71.06796956)"
15,120419367.0,TOWED,07/08/2012 09:45:00 AM,2012,7,Sunday,COREY RD,"(42.34456135, -71.13768454)"
16,120419366.0,VAL,07/08/2012 09:47:00 AM,2012,7,Sunday,COMMERCIAL ST,"(42.36179134, -71.05277456)"
17,120419376.0,TOWED,07/08/2012 09:53:00 AM,2012,7,Sunday,E 3RD ST,"(42.33637135, -71.04348957)"
18,120419382.0,WEAPONS CHARGE,07/08/2012 09:55:00 AM,2012,7,Sunday,WARREN ST,"(42.32170135, -71.08190956)"
19,120419328.0,InvProp,07/08/2012 10:00:00 AM,2012,7,Sunday,CAMDEN ST,"(42.33747731, -71.08062448)"
20,120419772.0,MedAssist,07/08/2012 10:00:00 AM,2012,7,Sunday,WARREN ST,"(42.32220635, -71.08208955)"
21,120419387.0,InvPer,07/08/2012 10:00:00 AM,2012,7,Sunday,WOODBINE ST,"(42.31900788, -71.07964071)"
22,120419601.0,DRUG CHARGES,07/08/2012 10:00:00 AM,2012,7,Sunday,WASHINGTON ST,"(42.30972244, -71.10427304)"
23,120421491.0,VAL,07/08/2012 10:00:00 AM,2012,7,Sunday,BLUE HILL AV,"(42.31757135, -71.07794956)"
24,120419390.0,WEAPONS CHARGE,07/08/2012 10:01:00 AM,2012,7,Sunday,COMMONWEALTH AV,"(42.35168135, -71.12518954)"
25,120419425.0,VAL,07/08/2012 10:34:00 AM,2012,7,Sunday,AMERICAN LEGION HY,"(42.2751208, -71.11599434)"
26,120426141.0,SIMPLE ASSAULT,07/08/2012 11:00:00 AM,2012,7,Sunday,NORTHAMPTON ST,"(42.33394861, -71.07537988)"
27,120420132.0,RESIDENTIAL BURGLARY,07/08/2012 11:00:00 AM,2012,7,Sunday,CATBIRD COURT,"(42.28813781, -71.0948495)"
28,120419472.0,VAL,07/08/2012 11:09:00 AM,2012,7,Sunday,BULLARD ST,"(42.30147136, -71.07512956)"
29,120419650.0,PersLoc,07/08/2012 11:10:00 AM,2012,7,Sunday,ANDRIA RD,"(42.26504136, -71.10888455)"
30,120419529.0,VAL,07/08/2012 11:30:00 AM,2012,7,Sunday,HOMES AV,"(42.30342636, -71.06674457)"
31,120419534.0,VAL,07/08/2012 11:51:00 AM,2012,7,Sunday,BRADLEE ST,"(42.26728137, -71.11588955)"
32,120419541.0,MedAssist,07/08/2012 11:59:00 AM,2012,7,Sunday,STANWOOD ST,"(42.30758393, -71.07751662)"
33,120420216.0,PropLost,07/08/2012 12:00:00 PM,2012,7,Sunday,SEAVER ST,"(42.30869467, -71.09044998)"
34,120423615.0,PropLost,07/08/2012 12:00:00 PM,2012,7,Sunday,W CONCORD ST,"(42.33960135, -71.07699955)"
35,120444955.0,OTHER LARCENY,07/08/2012 12:00:00 PM,2012,7,Sunday,HILLSIDE ST,"(42.33166635, -71.10762954)"
36,120447702.0,PropLost,07/08/2012 12:00:00 PM,2012,7,Sunday,CENTRE ST,"(42.3298129, -71.0925768)"
37,120422849.0,AUTO THEFT,07/08/2012 12:00:00 PM,2012,7,Sunday,E 7TH ST,"(42.33217135, -71.04223957)"
38,120492013.0,PropLost,07/08/2012 12:00:00 PM,2012,7,Sunday,DORCHESTER AV,"(0.0, 0.0)"
39,120419586.0,DRUG CHARGES,07/08/2012 12:15:00 PM,2012,7,Sunday,W BROADWAY,"(42.34130529, -71.0547108)"
40,120427046.0,OTHER LARCENY,07/08/2012 12:22:00 PM,2012,7,Sunday,CENTRE ST,"(42.29402635, -71.06054456)"
41,120419578.0,VAL,07/08/2012 12:24:00 PM,2012,7,Sunday,HANOVER ST,"(42.36568154, -71.05290553)"
42,120419589.0,MedAssist,07/08/2012 12:27:00 PM,2012,7,Sunday,AUCKLAND ST,"(42.31492635, -71.05536956)"
43,120420276.0,PropLost,07/08/2012 12:30:00 PM,2012,7,Sunday,BERKELEY ST,"(42.34603634, -71.07050456)"
44,120419595.0,Arrest,07/08/2012 12:30:00 PM,2012,7,Sunday,WHITTEN ST,"(42.29329136, -71.05965457)"
45,120419761.0,VANDALISM,07/08/2012 12:30:00 PM,2012,7,Sunday,AUCKLAND ST,"(42.31371136, -71.05572957)"
46,120419607.0,AGGRAVATED ASSAULT,07/08/2012 12:36:00 PM,2012,7,Sunday,W BROADWAY,"(42.33614915, -71.0467171)"
47,120419614.0,MVAcc,07/08/2012 12:41:00 PM,2012,7,Sunday,MARION ST,"(42.37955134, -71.03821957)"
48,120419723.0,CRIMES AGAINST CHILDREN,07/08/2012 12:57:00 PM,2012,7,Sunday,ALLSTATE RD,"(42.32543556, -71.06387302)"
49,120420355.0,InvPer,07/08/2012 01:00:00 PM,2012,7,Sunday,COLUMBIA RD,"(42.30754136, -71.07608956)"
50,120419648.0,SIMPLE ASSAULT,07/08/2012 01:00:00 PM,2012,7,Sunday,GALLIVAN BL,"(42.28410417, -71.04613468)"
51,120419811.0,InvProp,07/08/2012 01:00:00 PM,2012,7,Sunday,BANCROFT ST,"(42.31785135, -71.09880455)"
52,120419658.0,PhoneCalls,07/08/2012 01:17:00 PM,2012,7,Sunday,BEACON ST,"(42.34920135, -71.09544455)"
53,120419550.0,Arrest,07/08/2012 01:27:00 PM,2012,7,Sunday,HOPEWELL RD,"(42.26132637, -71.10319956)"
54,120420398.0,OTHER LARCENY,07/08/2012 01:30:00 PM,2012,7,Sunday,TYLER ST,"(42.35086634, -71.06070956)"
55,120421498.0,OTHER LARCENY,07/08/2012 01:30:00 PM,2012,7,Sunday,HOLLINGSWORTH ST,"(42.2680897, -71.09909872)"
56,120419712.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 01:40:00 PM,2012,7,Sunday,PARK ST,"(42.29751636, -71.06447956)"
57,120419715.0,SIMPLE ASSAULT,07/08/2012 01:54:00 PM,2012,7,Sunday,PRINCETON ST,"(42.37848634, -71.03342957)"
58,120420272.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 02:00:00 PM,2012,7,Sunday,PARK ST,"(42.35693634, -71.06249456)"
59,120420632.0,OTHER LARCENY,07/08/2012 02:00:00 PM,2012,7,Sunday,SCIENCE PARK,"(42.36746634, -71.07019955)"
60,120421120.0,VANDALISM,07/08/2012 02:00:00 PM,2012,7,Sunday,WESTVILLE ST,"(42.30011498, -71.07108061)"
61,120419967.0,MedAssist,07/08/2012 02:00:00 PM,2012,7,Sunday,PARIS ST,"(42.37699549, -71.03230969)"
62,120421992.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 02:00:00 PM,2012,7,Sunday,HEATH ST,"(42.32623635, -71.10315955)"
63,120419737.0,FIRE,07/08/2012 02:00:00 PM,2012,7,Sunday,MEDFORD ST,"(42.37928715, -71.0579425)"
64,120419719.0,MedAssist,07/08/2012 02:06:00 PM,2012,7,Sunday,BORDER ST,"(42.38094134, -71.04028457)"
65,120419502.0,Ballist,07/08/2012 02:12:00 PM,2012,7,Sunday,MORLEY ST,"(42.32900135, -71.09213955)"
66,120419736.0,SIMPLE ASSAULT,07/08/2012 02:14:00 PM,2012,7,Sunday,SALISBURY PARK,"(42.29928135, -71.05918456)"
67,120419763.0,InvPer,07/08/2012 02:34:00 PM,2012,7,Sunday,WORCESTER ST,"(42.33803135, -71.07640455)"
68,120421191.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 03:00:00 PM,2012,7,Sunday,MERIDIAN ST,"(42.38054134, -71.03925957)"
69,120421332.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 03:00:00 PM,2012,7,Sunday,SALMAN ST,"(42.26320137, -71.16580953)"
70,120473465.0,FRAUD,07/08/2012 03:00:00 PM,2012,7,Sunday,GLENWAY ST,"(42.29812136, -71.08109956)"
71,120429046.0,PropLost,07/08/2012 03:00:00 PM,2012,7,Sunday,TRUMAN PY,"(42.24122921, -71.12625579)"
72,120419893.0,PropLost,07/08/2012 03:00:00 PM,2012,7,Sunday,WASHINGTON ST,"(42.34891635, -71.16084953)"
73,120421482.0,PropLost,07/08/2012 03:00:00 PM,2012,7,Sunday,TRUMAN PY,"(42.25196296, -71.11916996)"
74,120419812.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 03:05:00 PM,2012,7,Sunday,COLUMBIA RD,"(42.30746136, -71.07596956)"
75,120419813.0,PubDrink,07/08/2012 03:10:00 PM,2012,7,Sunday,RUGGLES ST,"(42.33105135, -71.08270956)"
76,120419830.0,SIMPLE ASSAULT,07/08/2012 03:25:00 PM,2012,7,Sunday,MT VERNON ST,"(42.31776637, -71.04205955)"
77,120447485.0,MedAssist,07/08/2012 03:30:00 PM,2012,7,Sunday,E BROADWAY,"(42.33558135, -71.03846457)"
78,120419840.0,MedAssist,07/08/2012 03:30:00 PM,2012,7,Sunday,GAYLAND ST,"(42.31991635, -71.07570956)"
79,120419977.0,SIMPLE ASSAULT,07/08/2012 03:35:00 PM,2012,7,Sunday,WOODBINE ST,"(42.31981136, -71.08138956)"
80,120419849.0,Argue,07/08/2012 03:45:00 PM,2012,7,Sunday,N BEACON ST,"(42.35680135, -71.15158952)"
81,120425912.0,VANDALISM,07/08/2012 04:00:00 PM,2012,7,Sunday,BEACON ST,"(42.35274635, -71.08240456)"
82,120419987.0,SIMPLE ASSAULT,07/08/2012 04:00:00 PM,2012,7,Sunday,BLUE HILL AV,"(42.30911635, -71.08283956)"
