ObjectID,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
0,120420285,RESIDENTIAL BURGLARY,629,7/8/12 6:00,2012,7,Sunday,763273.1791,2951498.962,ABERDEEN ST,"(42.34638135, -71.10379454)"
1,120419202,AGGRAVATED ASSAULT,327,7/8/12 6:03,2012,7,Sunday,771223.1638,2940772.099,HOWARD AV,"(42.31684135, -71.07458456)"
2,120419213,ROBBERY,625,7/8/12 6:26,2012,7,Sunday,765118.8605,2950217.536,JERSEY ST,"(42.34284135, -71.09698955)"
3,120419223,COMMERCIAL BURGLARY,258,7/8/12 6:56,2012,7,Sunday,773591.8648,2940638.174,COLUMBIA RD,"(42.3164411, -71.06582908)"
4,120419236,ROBBERY,496,7/8/12 7:15,2012,7,Sunday,759042.7315,2923832.681,COLLINS ST,"(42.27051636, -71.11989955)"
5,120419239,ROBBERY,249,7/8/12 7:32,2012,7,Sunday,777066.0032,2939504.801,SYDNEY ST,"(42.31328183, -71.0530059)"
6,120419257,ROBBERY,295,7/8/12 7:50,2012,7,Sunday,768066.0298,2943456.962,REGENT ST,"(42.32425136, -71.08620956)"
7,120419424,SIMPLE ASSAULT,123,7/8/12 7:50,2012,7,Sunday,774083.6785,2952595.797,WASHINGTON ST,"(42.34924634, -71.06378456)"
8,120419255,MedAssist,759,7/8/12 7:53,2012,7,Sunday,746474.0254,2953382.196,FANEUIL ST,"(42.35174635, -71.16590953)"
9,120419274,MedAssist,494,7/8/12 8:05,2012,7,Sunday,759766.2593,2919778.597,RIVER ST,"(42.25938275, -71.11729354)"
10,120419278,BENoProp,626,7/8/12 8:10,2012,7,Sunday,765096.3106,2949840.249,PARK DR,"(42.34180635, -71.09707955)"
11,120419280,VAL,252,7/8/12 8:15,2012,7,Sunday,777796.693,2938036.312,SAVIN HILL AV,"(42.3092417, -71.05033304)"
12,120449819,FRAUD,125,7/8/12 9:00,2012,7,Sunday,774083.6785,2952595.797,WASHINGTON ST,"(42.34924634, -71.06378456)"
13,120419475,PropFound,162,7/8/12 9:30,2012,7,Sunday,771032.1683,2947352.683,MASSACHUSETTS AV,"(42.33490135, -71.07516956)"
14,120419370,InvPer,103,7/8/12 9:30,2012,7,Sunday,772933.044,2956412.797,CHAMPNEY PL,"(42.35973634, -71.06796956)"
15,120419367,TOWED,792,7/8/12 9:45,2012,7,Sunday,754114.5468,2950794.983,COREY RD,"(42.34456135, -71.13768454)"
16,120419366,VAL,91,7/8/12 9:47,2012,7,Sunday,777035.8848,2957182.846,COMMERCIAL ST,"(42.36179134, -71.05277456)"
17,120419376,TOWED,221,7/8/12 9:53,2012,7,Sunday,779594.8466,2947932.63,E 3RD ST,"(42.33637135, -71.04348957)"
18,120419382,WEAPONS CHARGE,296,7/8/12 9:55,2012,7,Sunday,769233.404,2942533.368,WARREN ST,"(42.32170135, -71.08190956)"
19,120419328,InvProp,273,7/8/12 10:00,2012,7,Sunday,769552.6659,2948284.111,CAMDEN ST,"(42.33747731, -71.08062448)"
20,120419772,MedAssist,296,7/8/12 10:00,2012,7,Sunday,769183.8241,2942717.161,WARREN ST,"(42.32220635, -71.08208955)"
21,120419387,InvPer,311,7/8/12 10:00,2012,7,Sunday,769851.8126,2941554.837,WOODBINE ST,"(42.31900788, -71.07964071)"
22,120419601,DRUG CHARGES,574,7/8/12 10:00,2012,7,Sunday,763205.8082,2938139.2,WASHINGTON ST,"(42.30972244, -71.10427304)"
23,120421491,VAL,311,7/8/12 10:00,2012,7,Sunday,770311.7677,2941033.602,BLUE HILL AV,"(42.31757135, -71.07794956)"
24,120419390,WEAPONS CHARGE,796,7/8/12 10:01,2012,7,Sunday,757481.0058,2953404.247,COMMONWEALTH AV,"(42.35168135, -71.12518954)"
25,120419425,VAL,497,7/8/12 10:34,2012,7,Sunday,760092.1353,2925515.338,AMERICAN LEGION HY,"(42.2751208, -71.11599434)"
26,120426141,SIMPLE ASSAULT,271,7/8/12 11:00,2012,7,Sunday,770977.0295,2947005.207,NORTHAMPTON ST,"(42.33394861, -71.07537988)"
27,120420132,RESIDENTIAL BURGLARY,503,7/8/12 11:00,2012,7,Sunday,765792.0983,2930285.392,CATBIRD COURT,"(42.28813781, -71.0948495)"
28,120419472,VAL,462,7/8/12 11:09,2012,7,Sunday,771103.6662,2935170.295,BULLARD ST,"(42.30147136, -71.07512956)"
29,120419650,PersLoc,488,7/8/12 11:10,2012,7,Sunday,762033.1228,2921850.994,ANDRIA RD,"(42.26504136, -71.10888455)"
30,120419529,VAL,345,7/8/12 11:30,2012,7,Sunday,773368.3558,2935894.139,HOMES AV,"(42.30342636, -71.06674457)"
31,120419534,VAL,493,7/8/12 11:51,2012,7,Sunday,760133.3603,2922658.665,BRADLEE ST,"(42.26728137, -71.11588955)"
32,120419541,MedAssist,329,7/8/12 11:59,2012,7,Sunday,770446.8849,2937394.604,STANWOOD ST,"(42.30758393, -71.07751662)"
33,120420216,PropLost,318,7/8/12 12:00,2012,7,Sunday,766946.5418,2937782.313,SEAVER ST,"(42.30869467, -71.09044998)"
34,120423615,PropLost,157,7/8/12 12:00,2012,7,Sunday,770528.8857,2949062.99,W CONCORD ST,"(42.33960135, -71.07699955)"
35,120444955,OTHER LARCENY,605,7/8/12 12:00,2012,7,Sunday,762261.1358,2946131.747,HILLSIDE ST,"(42.33166635, -71.10762954)"
36,120447702,PropLost,291,7/8/12 12:00,2012,7,Sunday,766334.4984,2945475.4,CENTRE ST,"(42.3298129, -71.0925768)"
37,120422849,AUTO THEFT,233,7/8/12 12:00,2012,7,Sunday,779941.0237,2946403.889,E 7TH ST,"(42.33217135, -71.04223957)"
39,120419586,DRUG CHARGES,200,7/8/12 12:15,2012,7,Sunday,776551.5679,2949714.607,W BROADWAY,"(42.34130529, -71.0547108)"
40,120427046,OTHER LARCENY,363,7/8/12 12:22,2012,7,Sunday,775063.1785,2932477.218,CENTRE ST,"(42.29402635, -71.06054456)"
41,120419578,VAL,83,7/8/12 12:24,2012,7,Sunday,776993.0581,2958600.324,HANOVER ST,"(42.36568154, -71.05290553)"
42,120419589,MedAssist,249,7/8/12 12:27,2012,7,Sunday,776423.5813,2940100.747,AUCKLAND ST,"(42.31492635, -71.05536956)"
43,120420276,PropLost,151,7/8/12 12:30,2012,7,Sunday,772273.0459,2951416.795,BERKELEY ST,"(42.34603634, -71.07050456)"
44,120419595,Arrest,363,7/8/12 12:30,2012,7,Sunday,775305.3515,2932210.616,WHITTEN ST,"(42.29329136, -71.05965457)"
45,120419761,VANDALISM,248,7/8/12 12:30,2012,7,Sunday,776328.5204,2939657.475,AUCKLAND ST,"(42.31371136, -71.05572957)"
46,120419607,AGGRAVATED ASSAULT,214,7/8/12 12:36,2012,7,Sunday,778722.6466,2947847.002,W BROADWAY,"(42.33614915, -71.0467171)"
47,120419614,MVAcc,24,7/8/12 12:41,2012,7,Sunday,780934.5086,2963675.903,MARION ST,"(42.37955134, -71.03821957)"
48,120419723,CRIMES AGAINST CHILDREN,0,7/8/12 12:57,2012,7,Sunday,774104.1328,2943918.604,ALLSTATE RD,"(42.32543556, -71.06387302)"
49,120420355,InvPer,329,7/8/12 13:00,2012,7,Sunday,770832.9737,2937381.004,COLUMBIA RD,"(42.30754136, -71.07608956)"
50,120419648,SIMPLE ASSAULT,384,7/8/12 13:00,2012,7,Sunday,778981.0368,2928881.854,GALLIVAN BL,"(42.28410417, -71.04613468)"
51,120419811,InvProp,303,7/8/12 13:00,2012,7,Sunday,764671.0201,2941108.421,BANCROFT ST,"(42.31785135, -71.09880455)"
52,120419658,PhoneCalls,622,7/8/12 13:17,2012,7,Sunday,765525.5483,2952537.22,BEACON ST,"(42.34920135, -71.09544455)"
53,120419550,Arrest,484,7/8/12 13:27,2012,7,Sunday,763578.2142,2920504.309,HOPEWELL RD,"(42.26132637, -71.10319956)"
54,120420398,OTHER LARCENY,116,7/8/12 13:30,2012,7,Sunday,774911.8589,2953190.422,TYLER ST,"(42.35086634, -71.06070956)"
55,120421498,OTHER LARCENY,481,7/8/12 13:30,2012,7,Sunday,764676.6933,2922974.147,HOLLINGSWORTH ST,"(42.2680897, -71.09909872)"
56,120419712,LARCENY FROM MOTOR VEHICLE,256,7/8/12 13:40,2012,7,Sunday,773992.0628,2933743.565,PARK ST,"(42.29751636, -71.06447956)"
57,120419715,SIMPLE ASSAULT,23,7/8/12 13:54,2012,7,Sunday,782230.82,2963294.84,PRINCETON ST,"(42.37848634, -71.03342957)"
58,120420272,LARCENY FROM MOTOR VEHICLE,102,7/8/12 14:00,2012,7,Sunday,774418.0128,2955399.966,PARK ST,"(42.35693634, -71.06249456)"
59,120420632,OTHER LARCENY,62,7/8/12 14:00,2012,7,Sunday,772316.1456,2959226.719,SCIENCE PARK,"(42.36746634, -71.07019955)"
60,120421120,VANDALISM,344,7/8/12 14:00,2012,7,Sunday,772201.4742,2934681.494,WESTVILLE ST,"(42.30011498, -71.07108061)"
61,120419967,MedAssist,20,7/8/12 14:00,2012,7,Sunday,782536.3817,2962753.2,PARIS ST,"(42.37699549, -71.03230969)"
62,120421992,LARCENY FROM MOTOR VEHICLE,906,7/8/12 14:00,2012,7,Sunday,763478.992,2944158.551,HEATH ST,"(42.32623635, -71.10315955)"
63,120419737,FIRE,900,7/8/12 14:00,2012,7,Sunday,775606.1433,2963551.393,MEDFORD ST,"(42.37928715, -71.0579425)"
64,120419719,MedAssist,26,7/8/12 14:06,2012,7,Sunday,780373.844,2964179.434,BORDER ST,"(42.38094134, -71.04028457)"
65,120419502,Ballist,291,7/8/12 14:12,2012,7,Sunday,766454.1442,2945180.221,MORLEY ST,"(42.32900135, -71.09213955)"
66,120419736,SIMPLE ASSAULT,351,7/8/12 14:14,2012,7,Sunday,775421.2319,2934394.115,SALISBURY PARK,"(42.29928135, -71.05918456)"
67,120419763,InvPer,170,7/8/12 14:34,2012,7,Sunday,770692.5881,2948491.651,WORCESTER ST,"(42.33803135, -71.07640455)"
68,120421191,LARCENY FROM MOTOR VEHICLE,24,7/8/12 15:00,2012,7,Sunday,780651.5658,2964035.159,MERIDIAN ST,"(42.38054134, -71.03925957)"
69,120421332,LARCENY FROM MOTOR VEHICLE,0,7/8/12 15:00,2012,7,Sunday,746627.4804,2921114.961,SALMAN ST,"(42.26320137, -71.16580953)"
70,120473465,FRAUD,445,7/8/12 15:00,2012,7,Sunday,769494.6555,2933941.516,GLENWAY ST,"(42.29812136, -71.08109956)"
71,120429046,PropLost,525,7/8/12 15:00,2012,7,Sunday,757369.1604,2913152.458,TRUMAN PY,"(42.24122921, -71.12625579)"
72,120419893,PropLost,760,7/8/12 15:00,2012,7,Sunday,747845.8786,2952356.282,WASHINGTON ST,"(42.34891635, -71.16084953)"
73,120421482,PropLost,512,7/8/12 15:00,2012,7,Sunday,759270.3839,2917072.456,TRUMAN PY,"(42.25196296, -71.11916996)"
74,120419812,LARCENY FROM MOTOR VEHICLE,337,7/8/12 15:05,2012,7,Sunday,770865.578,2937352.012,COLUMBIA RD,"(42.30746136, -71.07596956)"
75,120419813,PubDrink,276,7/8/12 15:10,2012,7,Sunday,769000.3868,2945939.61,RUGGLES ST,"(42.33105135, -71.08270956)"
76,120419830,SIMPLE ASSAULT,256,7/8/12 15:25,2012,7,Sunday,780017.8828,2941154.74,MT VERNON ST,"(42.31776637, -71.04205955)"
77,120447485,MedAssist,226,7/8/12 15:30,2012,7,Sunday,780955.0161,2947652.053,E BROADWAY,"(42.33558135, -71.03846457)"
78,120419840,MedAssist,264,7/8/12 15:30,2012,7,Sunday,770913.3282,2941891.165,GAYLAND ST,"(42.31991635, -71.07570956)"
79,120419977,SIMPLE ASSAULT,311,7/8/12 15:35,2012,7,Sunday,769377.4093,2941845.311,WOODBINE ST,"(42.31981136, -71.08138956)"
80,120419849,Argue,939,7/8/12 15:45,2012,7,Sunday,750337.2932,2955239.831,N BEACON ST,"(42.35680135, -71.15158952)"
81,120425912,VANDALISM,135,7/8/12 16:00,2012,7,Sunday,769044.1485,2953846.076,BEACON ST,"(42.35274635, -71.08240456)"
82,120419987,SIMPLE ASSAULT,329,7/8/12 16:00,2012,7,Sunday,769004.3297,2937945.957,BLUE HILL AV,"(42.30911635, -71.08283956)"
83,120421431,LARCENY FROM MOTOR VEHICLE,99,7/8/12 16:00,2012,7,Sunday,776087.7535,2955525.208,POST OFFICE SQ,"(42.35725634, -71.05631456)"
84,120422505,LARCENY FROM MOTOR VEHICLE,100,7/8/12 16:00,2012,7,Sunday,776630.1058,2955185.472,FRANKLIN ST,"(42.35631634, -71.05431456)"
85,120419882,SIMPLE ASSAULT,784,7/8/12 16:09,2012,7,Sunday,752824.3316,2952548.843,WARREN ST,"(42.34938895, -71.14242987)"
86,120419887,ROBBERY,403,7/8/12 16:13,2012,7,Sunday,772576.4249,2928248.165,FULLER ST,"(42.28245637, -71.06981457)"
87,120419871,InvProp,38,7/8/12 16:20,2012,7,Sunday,777027.3537,2961902.17,8TH ST,"(42.37474134, -71.05271456)"
88,120419924,AGGRAVATED ASSAULT,213,7/8/12 16:20,2012,7,Sunday,778722.6466,2947847.002,W BROADWAY,"(42.33614915, -71.0467171)"
90,120419858,MVAcc,651,7/8/12 16:25,2012,7,Sunday,760444.5696,2935549.682,SOUTH ST,"(42.30265136, -71.11452455)"
91,120421187,LARCENY FROM MOTOR VEHICLE,100,7/8/12 16:30,2012,7,Sunday,776630.1058,2955185.472,FRANKLIN ST,"(42.35631634, -71.05431456)"
92,120421728,LARCENY FROM MOTOR VEHICLE,0,7/8/12 16:30,2012,7,Sunday,767502.2341,2952127.587,NEWBURY ST,"(42.34805135, -71.08813956)"
93,120419954,ROBBERY,276,7/8/12 16:36,2012,7,Sunday,768918.0261,2946746.413,SHAWMUT AV,"(42.33326635, -71.08299956)"
94,120419998,Argue,352,7/8/12 16:50,2012,7,Sunday,774048.5119,2934609.361,CHARLES ST,"(42.29989136, -71.06425457)"
